Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Construction Services,294328.0,1927848.4,2020-05-15,Product_1,500 Million - 1 Billion,Category 2,India,Hapur,smt baleshwari,Chairman/CEO/President,Higher education careers adviser,Marketing Event,Level 3,Pending,"Young,Valerie K",Yes,4
Insurance,298696.0,1734188.7834387529,2020-05-18,Product_2,100 - 500 Million,Category 1,India,Gurugram,varsa,Chairman/Chief Innovation Officer,"Engineer, control and instrumentation",Website,Level 2,No track,"Jones,Michael L",We have all the requirements,4
Banks,405506.0,2777716.1,2019-01-21,Product_1,500 Million - 1 Billion,Category 1,India,Hyderabad,pooja,Chairman/CEO/President,Garment/textile technologist,Others,Level 3,?,"Georgakopoulos,Vasilios T",Not enough,5
Energy,192752.0,1301076.0,2020-01-31,Product_2,50 - 100 Million,Category 4,USA,"Provo-Orem, UT",Dana Brown,Chief Executive Officer,Clinical molecular geneticist,Website,Level 3,More than a week back,"Massiah,Gerard F",We have all the requirements,1
Outsourcing,280597.0,1908059.6,2019-05-26,Product_1,500 Million - 1 Billion,Category 3,India,Brajrajnagar,saroj,Chairman/Chief Innovation Officer,"Engineer, drilling",Website,Level 3,?,"Dyson,William A",We have all the requirements,5
Services,328530.0,1839768.0,2020-06-30,Product_1,100 - 500 Million,Category 3,India,Bhagalpur,kumari payal,Chief Executive Officer,Physiotherapist,Others,Level 1,Unknown,"Abdul-Hamid,Saud Muhamad",Cannot deliver,4
Education/Training,429339.0,2468699.25,2020-12-20,Product_2,50 - 100 Million,Category 2,India,Bhusaval,chandni,CEO/Co-Founder/Chairman,"Therapist, music",Marketing Event,Level 1,Pending,"Gilley,Janine",Yes,4
Banks,170926.0,1187935.7,2020-07-10,Product_1,100 - 500 Million,Category 1,USA,"Gadsden, AL",Kelly Camacho,CEO/Chairman/President,Forest/woodland manager,Others,Level 3,?,"McKenstry,Loretta A",Deliverable,5
Industrial Equip,161668.0,1042758.6,2019-05-05,Product_1,500 Million - 1 Billion,Category 3,USA,"Monroe, LA",Kayla Gomez,CEO,Police officer,Website,Level 2,More than 2 weeks,"Hanyok,John J",Yes,3
Healthcare Facilities/Services,292642.0,1770484.1,2020-12-15,Product_1,50 - 100 Million,Category 3,India,Bareilly,rainu,CEO/Chairman/President,Chartered management accountant,Marketing Event,Level 2,Up-to-date,"Hebron,Artenia D",Cannot deliver,3
Lending/Mortgage,206750.0,1333537.5,2019-08-30,Product_2,100 - 500 Million,Category 2,USA,"Florence, SC",James Graves,Chief Executive Officer,"Geologist, wellsite",Marketing Event,Level 3,Unknown,"Clavey,Therese A",Deliverable,2
Banks,418026.0,2570859.9,2020-04-17,Product_1,500 Million - 1 Billion,Category 2,India,Vizianagaram,ravina,Chief Executive Officer,Copy,Contact Email,Level 3,2 days back,"McKenstry,Loretta A",Yes,1
Staffing,199750.0,1288387.5,2019-02-19,Product_1,100 - 500 Million,Category 2,USA,"Bremerton-Silverdale, WA",Anthony Bird MD,Chairman/Chief Innovation Officer,Lobbyist,Others,Level 3,Up-to-date,"Charles,Caleb",Deliverable,5
Healthcare Facilities/Services,253650.0,1686772.5,2020-01-21,Product_1,500 Million - 1 Billion,Category 1,USA,"Modesto, CA",Dana Dawson,CEO,"Engineer, petroleum",Website,Level 1,more than a month,"Tondeur,Keith D",Cannot deliver,4
Banks,9177.0,55062.0,2020-02-04,Product_2,500 Million - 1 Billion,Category 2,USA,"Johnson City, TN",Adam Thompson,Chairman/Chief Innovation Officer,Office manager,Marketing Event,Level 2,More than a week back,"Anthony,Katherine D",We have all the requirements,2
Investment Bank/Brokerage,480492.0,2955025.8,2020-10-12,Product_2,100 - 500 Million,Category 4,India,Hisar,paramjeet kaur @ aasha,Executive Vice President,Claims inspector/assessor,Website,Level 1,More than a week back,"Murray,Younetta",We have all the requirements,1
Non-Profit,300485.0,1744578.0,2019-06-07,Product_2,100 - 500 Million,Category 4,USA,"Muskegon, MI",Joshua Duran,CEO/Chairman/President,Magazine features editor,Contact Email,Level 2,Did not hear back after Level 1,"Gilley,Janine",Cannot deliver,3
Construction Services,348570.0,1934563.5,2019-09-24,Product_1,50 - 100 Million,Category 2,USA,"Bakersfield, CA",Whitney Stevenson,CEO/Chairman/President,"Therapist, nutritional",Others,Level 1,No track,"Ali,Mohamed",Yes,4
Other Vehicles,313347.0,2130759.6,2019-12-17,Product_1,100 - 500 Million,Category 4,USA,"Sheboygan, WI",Michael Johnson,CEO/Chairman/President,Secondary school teacher,Marketing Event,Level 2,2 days back,"Morsy,Omar A",We have all the requirements,3
BioTech/Drugs,438250.0,2563762.5,2019-02-15,Product_2,50 - 100 Million,Category 4,India,Panipat,shahin,Executive Vice President,"Engineer, control and instrumentation",Others,Level 1,5 days back,"Brown,Maxine A",No,4
Banks,228289.0,1392562.9,2019-08-02,Product_1,500 Million - 1 Billion,Category 3,USA,"Terre Haute, IN",Donald Gould,Chief Executive Officer,"Education officer, museum",Marketing Event,Level 1,2 days back,"Bannister,Joan",Yes,1
Automotive/Transportation,294448.0,1709525.4670500238,2020-07-07,Product_2,50 - 100 Million,Category 1,USA,"Hanford-Corcoran, CA",Kathy Johnson,CEO/Chairman/President,"Investment banker, corporate",Marketing Event,Level 1,More than 2 weeks,"Irizarry,Yolanda",No,2
Technology Consulting,196304.0,1236715.2,2019-05-25,Product_2,500 Million - 1 Billion,Category 3,USA,"Iowa City, IA",Leah Johnson,CEO/Chairman/President,"Teacher, music",Marketing Event,Level 2,Up-to-date,"Gould,Lisa D",Yes,1
Furniture/Fixtures,73856.0,413593.6,2019-06-16,Product_2,500 Million - 1 Billion,Category 3,India,Kavaratti,ruchi devi,CEO,"Engineer, energy",Others,Level 2,Did not hear back after Level 1,"McKenstry,Loretta A",Deliverable,2
Apparel Retail,311105.0,1866630.0,2019-05-16,Product_2,100 - 500 Million,Category 1,India,Jorapokhar,versa,Executive Vice President,Information officer,Others,Level 1,More than 2 weeks,"Leu,Darren L",We have all the requirements,3
REIT,60189.0,397247.4,2020-09-24,Product_1,500 Million - 1 Billion,Category 1,India,Agartala,नसीम,CEO/Co-Founder/Chairman,Animal nutritionist,Marketing Event,Level 2,More than a week back,"Sutton,Michelle R",Yes,3
Banks,335240.0,1977916.0,2019-06-04,Product_2,50 - 100 Million,Category 2,India,Khammam,meera,CEO/President,Wellsite geologist,Others,Level 3,5 days back,"Brown,Maxine A",Yes,3
Insurance,76439.0,493031.55,2021-02-13,Product_1,500 Million - 1 Billion,Category 3,India,Bharauri,minakshi with children (1)kajal (2)palak,SVP/General Counsel ,Tour manager,Website,Level 2,more than a month,"Jones,Michael L",Deliverable,5
Software,129821.0,804890.2,2019-11-06,Product_2,500 Million - 1 Billion,Category 2,India,Proddatur,pinki,Executive Vice President,Ambulance person,Marketing Event,Level 2,More than 2 weeks,"Tondeur,Keith D",Cannot deliver,4
Banks,28355.0,164625.3145485907,2019-07-25,Product_2,500 Million - 1 Billion,Category 2,USA,"Monroe, MI",Luis Ross,Executive Vice President,Hydrographic surveyor,Others,Level 1,5 days back,"Georgakopoulos,Vasilios T",Deliverable,5
Financial Services,442450.0,2942292.5,2020-11-05,Product_2,500 Million - 1 Billion,Category 1,India,Hubli,soni mishra,CEO/President,Speech and language therapist,Website,Level 2,More than a week back,"Turner,Marlon D",Not enough,3
Beverages (Non-Alcoholic),234997.0,1398232.15,2019-05-25,Product_1,500 Million - 1 Billion,Category 2,India,Dindigul,asha  devi,SVP/General Counsel ,Patent examiner,Website,Level 2,No track,"Shelton,Sidney P",No,2
Outsourcing,229606.0,1538360.2,2019-07-07,Product_2,500 Million - 1 Billion,Category 1,USA,"Cape Coral-Fort Myers, FL",Monique Lopez,Chairman/CEO/President,Multimedia specialist,Contact Email,Level 2,2 days back,"Ryker,David",Cannot deliver,3
Banks,95926.0,589944.9,2019-12-19,Product_1,100 - 500 Million,Category 3,USA,"Salt Lake City, UT",Michael Henry,Chairman/CEO/President,"Editor, commissioning",Others,Level 3,?,"Gaskins Jr,Franklin D",Not enough,1
Banks,363136.0,2215129.6,2020-04-17,Product_1,50 - 100 Million,Category 2,USA,"Athens-Clarke County, GA",Stephen Calhoun,Chairman/CEO/President,Pension scheme manager,Others,Level 3,5 days back,"Rocks,Michael J",Not enough,4
Banks,179049.0,975817.05,2020-06-14,Product_2,50 - 100 Million,Category 3,USA,"St. George, UT",Jay Smith,Chairman/Chief Innovation Officer,Arts administrator,Others,Level 1,Pending,"Hanyok,John J",Deliverable,1
Other,185908.0,1189811.2,2019-06-08,Product_1,100 - 500 Million,Category 1,USA,"Redding, CA",Amy Jones,Chief Executive Officer,"Administrator, charities/voluntary organisations",Others,Level 1,More than 2 weeks,"Carter Sr,Clifton E",Deliverable,5
Insurance,167460.0,1071744.0,2020-10-18,Product_1,100 - 500 Million,Category 1,India,Pali,shiwani,CEO/Co-Founder/Chairman,Production engineer,Marketing Event,Level 2,2 days back,"Thomas,Lori E",Deliverable,2
Photography,246365.0,1539781.25,2020-04-07,Product_2,100 - 500 Million,Category 2,USA,"McAllen-Edinburg-Mission, TX",Gabrielle Hernandez PhD,Chairman/CEO/President,TEFL teacher,Others,Level 3,more than a month,"Himes,Maurice C",No,4
Hospitals/Clinics,30683.0,178141.36929269644,2020-06-05,Product_1,50 - 100 Million,Category 3,India,Diu,preeti joshi,Executive Vice President,Editorial assistant,Others,Level 1,?,"Himes,Maurice C",Cannot deliver,5
Chemical Manufacturing,148284.0,956431.8,2020-09-05,Product_2,500 Million - 1 Billion,Category 3,USA,"South Bend-Mishawaka, IN-MI",Kelsey Montgomery,CEO,Museum/gallery conservator,Website,Level 1,More than a week back,"Clavey,Therese A",Deliverable,5
Materials/Manufacturing,33074.0,216634.7,2020-06-01,Product_1,50 - 100 Million,Category 4,India,Mysore,lovely,SVP/General Counsel ,Structural engineer,Website,Level 3,Following up but lead not responding,"Hameier,Kurt E",We have all the requirements,4
Financial Services,260752.0,1681850.4,2019-10-11,Product_1,500 Million - 1 Billion,Category 1,India,Ghaziabad,madhuni haldar,Chairman/CEO/President,Animal technologist,Others,Level 3,More than 2 weeks,"Logan,Kevin N",Not enough,2
Food Processing,285137.0,1753592.55,2019-03-11,Product_2,500 Million - 1 Billion,Category 2,USA,"Merced, CA",Jesse Green,CEO/Co-Founder/Chairman,Sport and exercise psychologist,Website,Level 1,2 days back,"Houston,Arnold E",Not enough,4
Health/Accident,336663.0,2255642.1,2019-06-18,Product_1,500 Million - 1 Billion,Category 1,USA,"Indianapolis-Carmel-Anderson, IN",Emily Johnson,SVP/General Counsel ,Orthoptist,Marketing Event,Level 2,5 days back,"Davis,Sharrice A",Yes,1
Insurance,183285.0,1246338.0,2021-02-07,Product_1,50 - 100 Million,Category 4,USA,"Ames, IA",Ronald Stewart,CEO/Chairman/President,"Psychotherapist, child",Marketing Event,Level 3,Following up but lead not responding,"Jones,Eyvette W",Yes,1
Medical Equipment,454419.0,2817397.8,2019-06-20,Product_2,100 - 500 Million,Category 1,India,Chikka Mandya,rinki jaiswal,CEO/Chairman/President,Automotive engineer,Contact Email,Level 2,2 days back,"Anthony,Katherine D",No,2
Hotels/Motels,107353.0,772941.6,2019-01-16,Product_1,50 - 100 Million,Category 1,USA,"Lexington-Fayette, KY",Scott Davis,CEO,IT consultant,Marketing Event,Level 3,Up-to-date,"Maine,John P",No,5
Hospitals/Clinics,271088.0,1802735.2,2020-05-29,Product_2,100 - 500 Million,Category 2,USA,"Rockford, IL",Gregory Powell,Chief Executive Officer,Music tutor,Contact Email,Level 3,More than a week back,"Cashin,Marc C",We have all the requirements,5
Life,212893.0,1437027.75,2020-03-30,Product_1,500 Million - 1 Billion,Category 2,USA,"San Angelo, TX",Amber Solis,CEO/Co-Founder/Chairman,Statistician,Contact Email,Level 3,?,"Smith,Keenan H",We have all the requirements,5
BioTech/Drugs,362885.0,2249887.0,2019-02-21,Product_2,500 Million - 1 Billion,Category 2,USA,"Bowling Green, KY",Samuel Owens,CEO/Co-Founder/Chairman,"Accountant, chartered certified",Marketing Event,Level 2,Following up but lead not responding,"Hameier,Kurt E",Yes,1
Other,358073.0,2452800.05,2019-08-19,Product_2,500 Million - 1 Billion,Category 3,India,Proddatur,ganga devi,CEO/President,"Scientist, water quality",Marketing Event,Level 3,?,"Hameier,Kurt E",Cannot deliver,5
Non-Profit,283515.0,1729441.5,2020-05-30,Product_1,100 - 500 Million,Category 2,USA,"Bellingham, WA",Daniel Sharp,SVP/General Counsel ,"Social research officer, government",Marketing Event,Level 1,Did not hear back after Level 1,"Davis,Brian R",No,4
Hotels/Motels,286027.0,1660634.2741805587,2019-07-16,Product_2,500 Million - 1 Billion,Category 1,India,Moradabad,nisha,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Chief Operating Officer,Contact Email,Level 2,more than a month,"Hanyok,John J",No,2
Banks,240952.0,1469807.2,2019-11-11,Product_2,500 Million - 1 Billion,Category 3,USA,"Jackson, MS",Zachary Wilson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Producer, radio",Others,Level 1,Up-to-date,"Sutton,Michelle R",No,5
Healthcare Facilities/Services,109623.0,712549.5,2019-06-30,Product_1,500 Million - 1 Billion,Category 2,India,New Delhi,nisha,Chief Executive Officer,"Engineer, electrical",Website,Level 3,2 days back,"Van Arter,Derrick",We have all the requirements,3
Hospitals/Clinics,310824.0,1896026.4,2019-07-16,Product_2,100 - 500 Million,Category 2,India,Kolar,anita devi,CEO/Co-Founder/Chairman,Firefighter,Contact Email,Level 2,?,"Houston,Arnold E",We have all the requirements,5
Banks,493668.0,3060741.6,2019-08-17,Product_2,50 - 100 Million,Category 1,India,Bulandshahr,laxmi,CEO,Public house manager,Others,Level 3,Up-to-date,"Rocks,Michael J",Not enough,2
Investment Bank/Brokerage,68549.0,414721.45,2019-05-08,Product_2,50 - 100 Million,Category 2,USA,"Harrisburg-Carlisle, PA",Kristen Smith,CEO/President,"Production assistant, radio",Contact Email,Level 2,Unknown,"Jones,Michael L",Deliverable,5
Financial Services,50900.0,305400.0,2020-10-25,Product_1,500 Million - 1 Billion,Category 4,USA,"Texarkana, TX-AR",Stephen Gregory,Chief Executive Officer,Product manager,Others,Level 1,2 days back,"Dunaway,Antoine",We have all the requirements,2
Other,470853.0,2825118.0,2020-09-29,Product_2,500 Million - 1 Billion,Category 2,USA,"Elizabethtown-Fort Knox, KY",Jennifer Lowe,CEO/Co-Founder/Chairman,Chartered public finance accountant,Marketing Event,Level 1,2 days back,"Brown,Maxine A",We have all the requirements,1
Banks,215439.0,1400353.5,2019-07-12,Product_2,50 - 100 Million,Category 2,USA,"Owensboro, KY",Heather Love,Chairman/Chief Innovation Officer,Sport and exercise psychologist,Marketing Event,Level 3,more than a month,"Pappas,Mark S",No,4
Chemical Manufacturing,47154.0,259347.0,2021-01-13,Product_2,500 Million - 1 Billion,Category 3,India,Ludhiana,indra,CEO/Chairman/President,Prison officer,Others,Level 2,More than a week back,"Hameier,Kurt E",We have all the requirements,2
Insurance,478966.0,3113279.0,2020-02-10,Product_1,500 Million - 1 Billion,Category 1,USA,"Peoria, IL",Kimberly Payne,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Environmental consultant,Contact Email,Level 1,?,"Green,Candy",Yes,4
Professional Services,391287.0,2230335.9,2020-09-29,Product_1,100 - 500 Million,Category 2,India,Hospet,hema,CEO,"Designer, interior/spatial",Marketing Event,Level 1,Did not hear back after Level 1,"Van Arter,Derrick",Deliverable,1
Trucking,221957.0,1376133.4,2020-04-09,Product_2,100 - 500 Million,Category 3,USA,"Tuscaloosa, AL",Cynthia Willis,CEO/President,Bookseller,Others,Level 2,Unknown,"Jones,Michael L",Cannot deliver,5
Computer Hardware,467166.0,2662846.2,2019-01-27,Product_1,100 - 500 Million,Category 2,India,Alappuzha,sushma,Chairman/CEO/President,Counsellor,Contact Email,Level 2,Up-to-date,"Dimattia,Frank D",We have all the requirements,2
Other,330301.0,1816655.5,2020-05-28,Product_2,100 - 500 Million,Category 2,India,Nizamabad,sunita,Executive Vice President,Child psychotherapist,Others,Level 1,more than a month,"Kiepea,Prince A",No,4
Financial Services,8164.0,48984.0,2020-09-06,Product_2,50 - 100 Million,Category 1,India,Bhusaval,seema,CEO/Co-Founder/Chairman,"Doctor, hospital",Website,Level 1,5 days back,"Moran,Natalie A",No,4
Lending/Mortgage,382045.0,2330474.5,2020-11-10,Product_1,100 - 500 Million,Category 2,India,Ratlam,mangla urf mangi bai,CEO/Chairman/President,Medical illustrator,Marketing Event,Level 2,No track,"Cash,Tyrone J",Yes,3
Hospitals/Clinics,245071.0,1433665.35,2020-04-01,Product_2,50 - 100 Million,Category 3,USA,"Richmond, VA",Kenneth Carpenter,Chairman/CEO/President,"Engineer, broadcasting (operations)",Contact Email,Level 1,more than a month,"Ullrich,Rose Anne",Not enough,3
REIT,224591.0,1358775.55,2020-09-27,Product_1,50 - 100 Million,Category 3,India,Nizamabad,bakila w/ o ankil,Executive Vice President,Technical brewer,Marketing Event,Level 2,5 days back,"Carter Sr,Clifton E",We have all the requirements,4
Service Providers,252717.0,1630024.65,2019-01-13,Product_1,50 - 100 Million,Category 4,USA,"Tulsa, OK",Dennis Hubbard,CEO/Chairman/President,Writer,Contact Email,Level 2,Unknown,"Murray,Younetta",Cannot deliver,3
Banks,449241.0,3256997.25,2020-04-12,Product_1,500 Million - 1 Billion,Category 4,USA,"Decatur, AL",Rhonda Benton,SVP/General Counsel ,Photographer,Marketing Event,Level 3,More than 2 weeks,"Georgakopoulos,Vasilios T",Deliverable,3
Networking/Comm.,16995.0,105369.0,2020-04-06,Product_1,100 - 500 Million,Category 1,India,Muzaffarpur,prem lata,Chief Executive Officer,Applications developer,Contact Email,Level 2,more than a month,"Gilley,Janine",No,4
Real Estate,499197.0,2895342.6,2020-03-01,Product_1,500 Million - 1 Billion,Category 2,USA,"Mobile, AL",Brianna Alexander,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Engineer, civil (contracting)",Others,Level 2,5 days back,"Dimattia,Frank D",Deliverable,1
Financial Services,4187.0,25122.0,2021-01-23,Product_1,100 - 500 Million,Category 4,India,Chikka Mandya,maya,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Civil engineer, contracting",Marketing Event,Level 1,Up-to-date,"McKenstry,Loretta A",Yes,1
Service Providers,234855.0,1514814.75,2020-09-13,Product_1,500 Million - 1 Billion,Category 1,India,Gopalpur,danista paveen,CEO/Co-Founder/Chairman,Tax inspector,Others,Level 3,More than a week back,"Brown,Maxine A",No,1
Outsourcing,417464.0,2379544.8,2020-09-02,Product_2,500 Million - 1 Billion,Category 3,India,Lucknow,maya,CEO,"Teacher, secondary school",Contact Email,Level 1,More than a week back,"Salyers,Daniel L",Cannot deliver,2
"Oil, Gas, Coal",218935.0,1401184.0,2020-02-02,Product_2,50 - 100 Million,Category 3,USA,"Tampa-St. Petersburg-Clearwater, FL",Dylan Cole,Chairman/CEO/President,Tourist information centre manager,Marketing Event,Level 3,2 days back,"Mabrey,Kevin C",Not enough,2
Banks,103105.0,680493.0,2019-11-15,Product_1,100 - 500 Million,Category 1,USA,"Jackson, TN",David Johnston,CEO,Commissioning editor,Marketing Event,Level 2,5 days back,"Green,Ann E",Not enough,1
Electronics,363618.0,2218069.8,2019-04-27,Product_1,500 Million - 1 Billion,Category 3,USA,"Lynchburg, VA",Randall Dixon,CEO/Chairman/President,Astronomer,Contact Email,Level 2,More than a week back,"Hebron,Artenia D",Cannot deliver,1
Insurance,407502.0,2628387.9,2020-01-22,Product_2,100 - 500 Million,Category 2,USA,"Altoona, PA",Evan Hendrix,SVP/General Counsel ,Clinical psychologist,Others,Level 3,5 days back,"Jones,Eyvette W",We have all the requirements,5
Banks,194166.0,1271787.3,2019-06-01,Product_2,100 - 500 Million,Category 1,USA,"Cedar Rapids, IA",Martha Miller,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Aid worker,Others,Level 3,more than a month,"Salyers,Daniel L",We have all the requirements,2
Other,296169.0,1777014.0,2020-06-30,Product_1,50 - 100 Million,Category 3,USA,"Miami-Fort Lauderdale-West Palm Beach, FL",Terry Reynolds,Chairman/Chief Innovation Officer,Broadcast journalist,Website,Level 2,Up-to-date,"Jones,Michael L",Not enough,2
Healthcare Facilities/Services,138102.0,856232.4,2020-01-30,Product_1,50 - 100 Million,Category 4,USA,"Kalamazoo-Portage, MI",Christopher Barnett,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Engineer, chemical",Website,Level 1,5 days back,"Kiepea,Prince A",Cannot deliver,1
MSPs (Mgmt),162384.0,942779.6535940169,2019-10-03,Product_1,100 - 500 Million,Category 1,USA,"Hickory-Lenoir-Morganton, NC",Jennifer Smith,CEO,Rural practice surveyor,Marketing Event,Level 2,?,"Murray,Younetta",Yes,4
Education/Training,402234.0,2674856.1,2020-03-25,Product_1,500 Million - 1 Billion,Category 4,India,Bhusaval,shabanam,Chairman/Chief Innovation Officer,Fish farm manager,Contact Email,Level 3,Following up but lead not responding,"Himes,Maurice C",We have all the requirements,1
Other,396259.0,2714374.15,2019-09-30,Product_1,500 Million - 1 Billion,Category 4,USA,"El Centro, CA",Brian Perez,CEO,Insurance broker,Website,Level 2,?,"Brown,Maxine A",Not enough,4
Banks,387068.0,2535295.4,2019-01-22,Product_1,50 - 100 Million,Category 3,USA,"Ogden-Clearfield, UT",Zachary Parker,CEO/President,Materials engineer,Website,Level 3,Pending,"Cash,Tyrone J",We have all the requirements,4
Banks,480248.0,2809450.8,2020-12-17,Product_1,50 - 100 Million,Category 3,India,Gaya,baby,SVP/General Counsel ,"Designer, graphic",Contact Email,Level 2,?,"Featherstone,Adrian R",Yes,4
Insurance,276957.0,1661742.0,2019-05-12,Product_2,500 Million - 1 Billion,Category 2,India,Hisar,pooja,CEO/President,Passenger transport manager,Others,Level 2,Pending,"Gaskins Jr,Franklin D",Yes,5
Other,217481.0,1511492.95,2021-01-04,Product_2,100 - 500 Million,Category 4,India,Aizawl  ,geeta,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Corporate treasurer,Marketing Event,Level 3,Did not hear back after Level 1,"Heidelberg,Andre D",Deliverable,3
Packaging/Containers,326889.0,2043056.25,2019-06-08,Product_1,50 - 100 Million,Category 4,USA,"Yakima, WA",David Robinson,CEO/President,"Accountant, chartered public finance",Others,Level 1,more than a month,"Abdul-Hamid,Saud Muhamad",We have all the requirements,5
Staffing,113581.0,704202.2,2019-04-05,Product_1,100 - 500 Million,Category 4,India,Panchkula,ravina,SVP/General Counsel ,Chief Strategy Officer,Others,Level 2,More than a week back,"McKenstry,Loretta A",No,4
Architecture/Engineering,93130.0,558780.0,2019-04-12,Product_2,500 Million - 1 Billion,Category 2,USA,"Yakima, WA",Jason Jones,CEO/Chairman/President,Chief Financial Officer,Contact Email,Level 2,Unknown,"Leu,Darren L",Cannot deliver,2
Non-Profit,200722.0,1354873.5,2019-12-24,Product_1,50 - 100 Million,Category 1,India,Alwar,barkha,CEO,Hydrogeologist,Website,Level 3,2 days back,"Hameier,Kurt E",Yes,4
Architecture/Engineering,48153.0,279569.8385278888,2021-01-29,Product_1,100 - 500 Million,Category 3,USA,"Hammond, LA",Cassandra Stewart,Chief Executive Officer,Fine artist,Marketing Event,Level 3,Did not hear back after Level 1,"Vickers Jr.,Henry J",We have all the requirements,1
Machine Tools,22703.0,131810.5630822308,2020-09-20,Product_1,500 Million - 1 Billion,Category 2,USA,"Danville, IL",Jennifer Ellis,Chairman/CEO/President,Hospital doctor,Contact Email,Level 1,2 days back,"Carter Sr,Clifton E",No,5
Non-Profit,22544.0,133009.6,2020-09-15,Product_1,500 Million - 1 Billion,Category 3,India,Porbandar,santosh,SVP/General Counsel ,"Radiographer, diagnostic",Contact Email,Level 2,2 days back,"Thomas,Lori E",Deliverable,4
B2B eCommerce,263035.0,1670272.25,2019-05-04,Product_1,100 - 500 Million,Category 3,India,Puducherry,sabina,Chairman/CEO/President,"Accountant, chartered certified",Contact Email,Level 3,5 days back,"Jones,Michael L",Deliverable,4
Biotech/Healthcare,46872.0,278888.4,2020-03-03,Product_2,100 - 500 Million,Category 3,USA,"La Crosse-Onalaska, WI-MN",James Sawyer,CEO/President,Merchant navy officer,Website,Level 2,Following up but lead not responding,"Brown,Maxine A",Cannot deliver,2
"Oil, Gas, Coal",231684.0,1563867.0,2019-12-24,Product_2,50 - 100 Million,Category 4,India,Meerut,hailena,CEO/Co-Founder/Chairman,Paediatric nurse,Website,Level 3,Did not hear back after Level 1,"Moran,Natalie A",We have all the requirements,3
Healthcare Facilities/Services,386704.0,2648922.4,2019-07-24,Product_2,500 Million - 1 Billion,Category 1,India,Aligarh,doli,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Psychotherapist, dance movement",Marketing Event,Level 3,2 days back,"Jones,Michael L",Yes,2
Real Estate,110781.0,786545.1,2019-03-03,Product_1,100 - 500 Million,Category 1,India,Nandyal,firoza,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Network engineer,Website,Level 3,Pending,"Mabrey,Kevin C",Yes,5
Real Estate,152260.0,1042981.0,2020-01-19,Product_2,500 Million - 1 Billion,Category 4,USA,"Madison, WI",Brenda Williams,Chairman/CEO/President,Furniture conservator/restorer,Website,Level 2,More than a week back,"Morsy,Omar A",Yes,3
Investment Bank/Brokerage,220037.0,1331223.85,2020-11-18,Product_1,50 - 100 Million,Category 4,USA,"San Jose-Sunnyvale-Santa Clara, CA",Erika Mccoy,SVP/General Counsel ,Software engineer,Others,Level 2,Unknown,"Thomas,Lori E",Yes,2
Construction Services,246622.0,1405745.4,2019-12-24,Product_1,100 - 500 Million,Category 2,India,Valparai,kanta,CEO/President,Actuary,Others,Level 2,?,"Clavey,Therese A",Cannot deliver,3
Banks,453220.0,2945930.0,2021-01-29,Product_2,500 Million - 1 Billion,Category 1,USA,"Bloomington, IN",Gabriella Sims,SVP/General Counsel ,"Lighting technician, broadcasting/film/video",Others,Level 2,Did not hear back after Level 1,"Smith,Keenan H",No,4
Hospitals/Clinics,468149.0,2902523.8,2020-09-25,Product_1,500 Million - 1 Billion,Category 2,USA,"Durham-Chapel Hill, NC",Jessica Mcpherson,Chief Executive Officer,Applications developer,Contact Email,Level 2,Unknown,"Featherstone,Adrian R",Yes,4
Hospitals/Clinics,434104.0,2821676.0,2020-06-29,Product_1,500 Million - 1 Billion,Category 4,USA,"Tuscaloosa, AL",Billy Stevens,Chairman/Chief Innovation Officer,Paediatric nurse,Others,Level 2,Pending,"Sutton,Michelle R",Not enough,4
Furniture/Fixtures,238061.0,1382150.1324899327,2019-09-12,Product_1,500 Million - 1 Billion,Category 2,India,Kumbakonam,chhagana,CEO/President,"Designer, interior/spatial",Marketing Event,Level 2,5 days back,"Davis,Brian R",No,2
Apparel Products,273289.0,1694391.8,2019-12-03,Product_2,100 - 500 Million,Category 4,USA,"Eugene, OR",Brendan Lucas,Executive Vice President,Higher education lecturer,Contact Email,Level 1,?,"Clavey,Therese A",Yes,2
Other Investment Firms,61178.0,333420.1,2020-06-12,Product_1,50 - 100 Million,Category 2,India,Valparai,reshma ahari,Chief Executive Officer,"Scientist, research (physical sciences)",Marketing Event,Level 1,Following up but lead not responding,"Irizarry,Yolanda",Yes,2
Banks,369018.0,2324813.4,2020-08-24,Product_2,50 - 100 Million,Category 2,India,Dhanbad,rita,CEO/Chairman/President,Museum/gallery curator,Contact Email,Level 3,Pending,"Green,Candy",Not enough,5
